Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
20.0,Put,4,0,0,0,0.0,54.410000000000004,0,0,0,0,0,2026-10-16
20.0,Call,0,0,0,0,0.0,84.15,0,0,0,0,0,2026-10-16
21.0,Put,0,0,0,0,0.0,50.739999999999995,0,0,0,0,0,2026-10-16
21.0,Call,0,0,0,0,0.0,71.98,0,0,0,0,0,2026-10-16
22.0,Put,0,0,0,0,0.0,43.36,0,0,0,0,0,2026-10-16
22.0,Call,0,0,0,0,0.0,68.49,0,0,0,0,0,2026-10-16
23.0,Put,0,0,0,0,0.0,45.25,0,0,0,0,0,2026-10-16
23.0,Call,0,0,0,0,0.0,65.01,0,0,0,0,0,2026-10-16
24.0,Put,12,0,0,0,0.0,42.67,0,0,0,0,0,2026-10-16
24.0,Call,0,0,0,0,0.0,64.68,0,0,0,0,0,2026-10-16
25.0,Put,3,0,0,0,0.0,40.510000000000005,0,0,0,0,0,2026-10-16
25.0,Call,11,0,0,0,0.0,56.48,0,0,0,0,0,2026-10-16
26.0,Put,1,0,0,0,0.0,38.269999999999996,0,0,0,0,0,2026-10-16
26.0,Call,1,0,0,0,0.0,56.71000000000001,0,0,0,0,0,2026-10-16
27.0,Put,71,0,0,0,0.0,37.09,0,0,0,0,0,2026-10-16
27.0,Call,1,0,0,0,0.0,54.379999999999995,0,0,0,0,0,2026-10-16
28.0,Call,1,0,0,0,0.0,51.849999999999994,0,0,0,0,0,2026-10-16
28.0,Put,134,0,0,0,0.0,35.99,0,0,0,0,0,2026-10-16
29.0,Put,67,0,0,0,0.0,36.32,0,0,0,0,0,2026-10-16
29.0,Call,4,0,0,0,0.0,50.13999999999999,0,0,0,0,0,2026-10-16
30.0,Call,14,0,0,0,9.95,49.44,0,0,0,0,0,2026-10-16
30.0,Put,1579,0,0,0,0.52,35.06,0,0,0,0,0,2026-10-16
31.0,Call,5,0,0,0,0.0,45.96,0,0,0,0,0,2026-10-16
31.0,Put,387,0,0,0,0.67,33.72,0,0,0,0,0,2026-10-16
32.0,Call,7,0,0,0,0.0,44.57,0,0,0,0,0,2026-10-16
32.0,Put,551,460,0,0,0.95,33.040000000000006,0,0,0,0,0,2026-10-16
33.0,Call,12,0,0,0,7.36,445.0,0,0,0,0,0,2026-10-16
33.0,Put,1765,0,0,0,1.04,32.019999999999996,0,0,0,0,0,2026-10-16
34.0,Put,1518,0,0,0,1.25,31.330000000000002,0,0,0,0,0,2026-10-16
34.0,Call,1,0,0,0,0.0,43.01,0,0,0,0,0,2026-10-16
34.0,Put,1518,0,0,0,1.25,31.330000000000002,0,0,0,0,0,2026-10-16
35.0,Put,95,0,0,0,1.64,30.73,0,0,0,0,0,2026-10-16
35.0,Call,46,1,0,0,5.32,42.04,0,0,0,0,0,2026-10-16
36.0,Put,1152,100,0,0,2.1,30.39,0,0,0,0,0,2026-10-16
36.0,Call,61,0,0,0,5.9,40.96,0,0,0,0,0,2026-10-16
37.0,Put,68,0,0,0,0.0,29.509999999999998,0,0,0,0,0,2026-10-16
37.0,Call,357,0,0,0,0.0,395.0,0,0,0,0,0,2026-10-16
38.0,Call,207,0,0,0,0.0,38.690000000000005,0,0,0,0,0,2026-10-16
38.0,Put,367,0,0,0,0.0,27.61,0,0,0,0,0,2026-10-16
39.0,Call,42,0,0,0,0.0,37.97,0,0,0,0,0,2026-10-16
39.0,Put,655,0,0,0,0.0,27.83,0,0,0,0,0,2026-10-16
40.0,Call,572,73,0,0,2.88,37.92,0,0,0,0,0,2026-10-16
40.0,Put,490,462,0,0,3.99,275.0,0,0,0,0,0,2026-10-16
41.0,Call,60,0,0,0,0.0,36.93,0,0,0,0,0,2026-10-16
41.0,Put,3,0,0,0,0.0,25.169999999999998,0,0,0,0,0,2026-10-16
42.0,Call,66,102,0,0,2.11,36.78,0,0,0,0,0,2026-10-16
