# RELATÓRIOS ECONÔMICOS DOS ESTADOS UNIDOS

## VISÃO GERAL

Os dados econômicos dos EUA são os mais importantes do mundo para mercados globais, incluindo WDO e WIN. Abaixo está a lista completa organizada por categoria.

---

## 1. INFLAÇÃO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **CPI (Consumer Price Index)** | Bureau of Labor Statistics (BLS) | Mensal | ~Dia 10-14, 8h30 ET |
| **Core CPI (ex-food & energy)** | BLS | Mensal | Junto com CPI |
| **PCE (Personal Consumption Expenditures)** | Bureau of Economic Analysis (BEA) | Mensal | ~Dia 28-31, 8h30 ET |
| **Core PCE** | BEA | Mensal | Junto com PCE |
| **PPI (Producer Price Index)** | BLS | Mensal | ~Dia 11-15, 8h30 ET |
| **Core PPI** | BLS | Mensal | Junto com PPI |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Import/Export Prices** | BLS | Mensal | ~Dia 13-16, 8h30 ET |
| **Employment Cost Index (ECI)** | BLS | Trimestral | Último dia útil do trimestre, 8h30 ET |
| **Unit Labor Costs** | BLS | Trimestral | ~5 semanas após fim do trimestre |
| **GDP Price Index** | BEA | Trimestral | Junto com PIB |
| **ISM Prices Paid (Manufatura e Serviços)** | ISM | Mensal | Subcomponente dos ISMs |

### Indicadores de Expectativa de Inflação
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Michigan Inflation Expectations (1 ano e 5 anos)** | Univ. of Michigan | Mensal | Preliminar ~dia 14, Final ~dia 28 |
| **NY Fed Inflation Expectations** | NY Fed | Mensal | ~Dia 10-13, 11h00 ET |
| **Breakeven Inflation (TIPS spread)** | Mercado | Contínuo | - |

---

## 2. EMPREGO E MERCADO DE TRABALHO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Nonfarm Payrolls (NFP)** | BLS | Mensal | 1ª sexta-feira do mês, 8h30 ET |
| **Taxa de Desemprego (Unemployment Rate)** | BLS | Mensal | Junto com NFP |
| **Average Hourly Earnings (salários)** | BLS | Mensal | Junto com NFP |
