"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"SSIF DCE Iron Ore Futures Index ETF","9047.HK","HK","3,17","3,17","3,19","--","--","3,17","3,16","3,17","3,17","+0,01","+0,32%","-","--","04:59:59","11.710.000","","3.000","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,32%","0,70%","9,08%","2,52%","12,81%","39,40%"
"SSIF DCE Iron Ore Futures Index ETF","3047.HK","HK","24,78","24,78","25,00","--","--","24,78","24,74","24,78","24,78","+0,04","+0,16%","-","--","04:59:59","91.540.000","","2.366","-","-","-","-","-","Neutro","Neutro","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,16%","0,65%","9,16%","3,08%","13,46%","43,24%"
"Madeira Serrada Futuros","LXRc1","CME","596,00","596,50","598,00","--","--","599,00","597,50","600,00","594,00","-1,50","-0,25%","48","--","11:20:44","-","","-","-","-","-","-","-","Neutro","Neutro","Compra Forte","Compra Forte","Neutro","Compra Forte","Compra Forte","Compra Forte","-0,59%","-2,54%","6,45%","10,31%","-12,45%","17,16%"
"Porco Magro Futuros","LHc5","CME","106,38","106,35","106,38","--","--","105,88","105,85","106,53","105,68","+0,53","+0,50%","1.833","--","11:20:53","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra","Venda","Venda Forte","Compra","Compra Forte","0,54%","-0,21%","-3,75%","2,48%","11,04%","11,71%"
"Porco Magro Futuros","LHc6","CME","90,85","90,83","90,88","--","--","90,38","90,30","90,90","90,15","+0,55","+0,61%","1.488","--","11:20:53","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra","Venda","Venda Forte","Venda Forte","Venda","0,58%","0,09%","-2,23%","-11,75%","11,52%","7,05%"
"Porco Magro Futuros","LHc7","CME","83,03","83,05","83,08","--","--","82,75","82,68","83,08","82,48","+0,35","+0,42%","566","--","11:20:45","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra","Venda","Venda Forte","Venda Forte","Venda Forte","0,39%","-0,15%","-1,19%","-4,30%","10,01%","4,53%"
"Porco Magro Futuros","LHc4","CME","106,55","106,55","106,60","--","--","106,30","106,18","106,78","105,95","+0,38","+0,35%","1.903","--","11:19:50","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra","Neutro","Venda Forte","Compra Forte","Compra Forte","0,45%","-0,40%","-4,50%","3,67%","10,20%","12,09%"
"Porco Magro Futuros","LHc3","CME","104,33","104,30","104,33","--","--","104,00","104,13","104,55","103,85","+0,20","+0,19%","4.724","--","11:20:53","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra","Venda Forte","Neutro","Compra Forte","Compra Forte","0,17%","-0,43%","-4,79%","10,96%","8,45%","12,06%"
"Porco Magro Futuros","LHc2","CME","95,58","95,53","95,60","--","--","95,50","95,55","95,68","95,50","+0,03","+0,03%","23","--","11:20:38","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra","Compra","Venda Forte","Venda Forte","Compra","Compra Forte","0,10%","-0,42%","-4,47%","6,40%","7,65%","10,29%"
"Porco Magro Futuros","LHc1","CME","90,75","90,73","90,75","--","--","90,80","90,90","91,00","90,70","-0,15","-0,17%","1.823","--","11:18:45","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Compra","Neutro","-0,17%","-1,41%","-5,20%","6,64%","4,28%","15,42%"
