"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"SSIF DCE Iron Ore Futures Index ETF","9047.HK","HK","3,17","3.17","3.19","--","--","3,17","3,16","3,17","3,17","+0,01","+0,32%","-","--","","11.710.000","","3.000","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,32%","0,70%","9,08%","2,52%","12,81%","39,40%"
"SSIF DCE Iron Ore Futures Index ETF","3047.HK","HK","24,78","24,78","25,00","--","--","24,78","24,74","24,78","24,78","+0,04","+0,16%","-","--","04:59:59","91.540.000","","2.366","-","-","-","-","-","Neutro","Neutro","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,16%","0,65%","9,16%","3,08%","13,46%","43,24%"
"Madeira Serrada Futuros","LXRc1","CME","597,50","593,00","600,00","--","--","585,00","597,50","599,50","583,50","+12,00","+2,05%","649","--","24/03","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","2,05%","-1,97%","7,08%","10,96%","-11,94%","17,85%"
"Porco Magro Futuros","LHc5","CME","105,85","105,50","106,80","--","--","105,40","105,85","106,65","104,83","0,00","0,00%","-","--","25/03","-","","-","-","-","-","-","-","Neutro","Venda Forte","Venda","Venda Forte","Venda Forte","Venda Forte","Neutro","Compra Forte","0,00%","-0,75%","-4,27%","1,93%","10,43%","11,10%"
"Porco Magro Futuros","LHc6","CME","90,30","89,95","90,75","--","--","90,00","90,30","91,05","89,65","0,00","0,00%","-","--","25/03","-","","-","-","-","-","-","-","Neutro","Venda","Venda","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda","0,00%","-0,50%","-2,80%","-12,27%","10,87%","6,42%"
"Porco Magro Futuros","LHc7","CME","82,68","82,40","83,50","--","--","82,45","82,68","83,30","82,13","0,00","0,00%","-","--","25/03","-","","-","-","-","-","-","-","Compra","Venda","Venda","Venda","Venda Forte","Venda Forte","Venda Forte","Venda Forte","0,00%","-0,54%","-1,57%","-4,66%","9,58%","4,13%"
"Porco Magro Futuros","LHc4","CME","106,18","105,00","106,85","--","--","105,58","106,18","107,03","105,00","0,00","0,00%","-","--","25/03","-","","-","-","-","-","-","-","Compra Forte","Venda","Neutro","Venda Forte","Venda Forte","Venda Forte","Compra Forte","Compra Forte","0,00%","-0,84%","-4,92%","3,21%","9,72%","11,59%"
"Porco Magro Futuros","LHc3","CME","104,13","103,50","104,53","--","--","103,50","104,13","105,00","102,95","0,00","0,00%","-","--","25/03","-","","-","-","-","-","-","-","Compra Forte","Venda","Neutro","Venda Forte","Venda Forte","Venda","Compra Forte","Compra Forte","0,00%","-0,59%","-4,95%","10,78%","8,27%","11,88%"
"Porco Magro Futuros","LHc2","CME","95,55","95,00","97,00","--","--","95,15","95,55","96,20","94,65","+0,00","+0,00%","-","--","25/03","-","","-","-","-","-","-","-","Venda Forte","Venda","Venda","Neutro","Venda Forte","Venda Forte","Compra","Compra Forte","0,00%","-0,52%","-4,57%","6,28%","7,54%","10,18%"
"Porco Magro Futuros","LHc1","CME","90,90","90,50","91,25","--","--","90,75","90,90","91,50","90,53","-0,15","-0,16%","8.038","--","25/03","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Compra","Neutro","-0,16%","-1,25%","-5,04%","6,82%","4,45%","15,61%"
