Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
17.00,+55.33%,19.05,20.75,22.45,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
18.00,+52.71%,18.15,19.80,21.45,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
19.00,+50.08%,17.15,18.80,20.45,20.30,unch,unch,0,1,unch,0.00%,0.0000,Call,02/11/26
20.00,+47.45%,16.15,17.80,19.45,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
21.00,+44.82%,15.15,16.80,18.45,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
22.00,+42.20%,14.15,15.80,17.45,9.65,unch,unch,0,3,unch,0.00%,0.0000,Call,12/19/25
23.00,+39.57%,13.15,14.80,16.45,16.39,unch,unch,0,1,unch,0.00%,0.0000,Call,02/11/26
24.00,+36.94%,12.15,13.80,15.45,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
25.00,+34.31%,11.15,12.80,14.45,11.40,unch,unch,0,40,unch,0.00%,0.0000,Call,01/23/26
26.00,+31.69%,10.10,11.77,13.45,12.00,unch,unch,0,201,unch,0.00%,0.0000,Call,01/27/26
27.00,+29.06%,9.15,10.80,12.45,11.05,unch,unch,0,1,unch,0.00%,0.0000,Call,02/03/26
27.50,+27.75%,8.65,10.30,11.95,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
28.00,+26.43%,8.15,9.80,11.45,10.74,unch,unch,0,3,-1,0.00%,0.0000,Call,02/12/26
28.50,+25.12%,7.65,9.28,10.90,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
29.00,+23.80%,7.15,8.73,10.30,8.63,unch,unch,0,6,unch,0.00%,0.0000,Call,02/02/26
29.50,+22.49%,6.65,8.13,9.60,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
30.00,+21.18%,7.60,8.35,9.10,7.70,+7.70,unch,192,269,unch,147.43%,0.9116,Call,02/13/26
30.50,+19.86%,5.65,7.13,8.60,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
31.00,+18.55%,6.60,7.25,7.90,7.00,+7.00,unch,2,"2,663",unch,118.82%,0.9227,Call,02/13/26
31.50,+17.24%,5.65,6.55,7.45,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
32.00,+15.92%,5.65,6.40,7.15,6.10,+0.07,+1.16%,6,"1,646",unch,78.53%,0.9641,Call,02/13/26
